,MaterialType,CultivationName,SupplierCatalogueNumber,ERPnumber,ERPInventoryControl,LIMSSpec,BOM
2,Primer,20µM CPMV-818R Primer,N/A,N/A,N,Y,BA5101
3,Primer,20µM CPMV-745F Primer,N/A,N/A,N,Y,BA5101
4,Probe,5µM CPMV-766T Probe,N/A,N/A,N,Y,BA5081
5,Primer,20µM MMV 658F Primer,N/A,N/A,N,Y,BA5101
6,Primer,20µM MMV 731R Primer,N/A,N/A,N,Y,BA5101
7,Probe,5µM  MMV 678T Probe,N/A,N/A,N,Y,BA5081
8,DNA,pMMV NS1 positive control plasmid,N/A,N/A,N,Y,KPBT6440
9,DNA,CPMV Plasmid DNA,N/A,N/A,N,N,BA5099
10,DNA,Human Placental DNA,"CA-972-M
CA-972-F","A0000363.UK
100004480.1MG",Y,N,N
11,Solvent,Ethanol,"101074F
15338
283047K","A00001044.UK
A0000104
A0001860.UK",Y,N,N
12,PCR master mix,Universal PCR mastermix,4305719,A0000111.KIT,Y,Y,N
13,IPC,Exogenous IPC Reagents,4308321,A0000112.KIT,Y,Y,N
14,Extraction kit,QIAAMP DNA Mini Kit,51304,A0001640.UK,Y,N,N
15,Extraction kit,QIAAMP Viral RNA Mini Kit1,52904,A0001641.UK,Y,N,N
16,Carrier Nucleic Acid,Polyadenylic acid,10108626001,A0000600.100MG,Y,N,N
17,PBS,Phosphate Buffered Saline (PBS) 1x,"14040-083
14040091","100000856.100ml
100000718.500ml",Y,Y,N
18,Buffer,1 x TE buffer,V6231,A0000554.100ml,Y,N,N
19,Water,Nuclease Free Water,P1193,A0000551.50ML,Y,N,N
20,PCR master mix,Eurogentec PCR mastermix,RT-QP2X-03,100004081.,Y,Y,N
