,MaterialType,CultivationName,SupplierCatalogueNumber,ERPnumber,ERPInventoryControl,LIMSSpec,BOM,Assay
2,Extraction Kit,QIAamp DNA mini Kit,51304,A0001640.UK,Y,Y,N,108601GMP.BUK
3,Extraction Kit,QIAamp DNA mini QIAcube Kit,51326,100007449.KIT,Y,Y,N,108601GMP.BUK
4,Consumables,Collection tubes,19201,A0000568.2ML,Y,N,N,108601GMP.BUK
5,Buffer,1x Phosphate Buffered Saline (PBS) _1x Dulbeccos PBS +CA+MG,14040083_14040091,100000856.100ml_100000718.500ml,Y,Y,N,108601GMP.BUK
6,PCR Kit,AmpliTaq Gold 360 PCR Master Mix,4398881,100008580.UK,Y,Y,N,108601GMP.BUK
7,Water,Nuclease Free Water,"129115, P1193",100004189.1000ML _A0000551.50ML,Y,Y,N,108601GMP.BUK
8,Solvent,Ethanol,153386F_283047K,A0000104_A0001860.UK,Y,N,PROC-BREL_UK-OP-036382 (KPBT4413),108601GMP.BUK
9,Chemical,Agarose,15510-027 ,100001257.500G,Y,Y,N,108601GMP.BUK
10,Reagent,10x Blue Juice Loading Buffer,10816-015 ,100000721.3x1ML,Y,Y,N,108601GMP.BUK
11,Reagent,Gel Star Nucleic Acid Stain,50535,100004202.2PK,Y,Y,N,108601GMP.BUK
12,Reagent,ExoSAP-IT Reagent,USBM78200200UL,100009316.UK,Y,N,N,108601GMP.BUK
13,Reagent,Ultra Pure Glycerol,15514011,100008581.UK,Y,N,N,108601GMP.BUK
14,Reagent,Ethidium bromide,15585-011,100001261.UK,Y,Y,N,108601GMP.BUK
15,Buffer,1 x TE Buffer,V6231,A0000554.100ML,Y,N,N,108601GMP.BUK
16,Buffer,1 x TBE buffer,043-90296,100000646.UK,Y,Y,N,108601GMP.BUK
17,Buffer,1 x TAE buffer,4390291,100000678.UK,Y,Y,N,108601GMP.BUK
18,Buffer,10 x TBE buffer,15581-028,100001260.10L,Y,Y,PROC-BREL_UK-OP-036382 (KPBT4413),108601GMP.BUK
19,Buffer,10 x TAE buffer,15558-034,100001259.10L,Y,Y,PROC-BREL_UK-OP-036382 (KPBT4413),108601GMP.BUK
20,Molecular Weight Marker,1Kb Plus DNA Ladder,10787-018 ,100007375.UK,Y,Y,N,108601GMP.BUK
21,Molecular Weight Marker,Low DNA Mass Ladder,10068013 ,100000716.200UL,Y,Y,N,108601GMP.BUK
22,DNA sequencing Kit,BigDye Terminator v3.1,4337456,A0001976.UK,Y,N,N,108601GMP.BUK
23,Polymer,POP 7 Polymer,4352759,A0001975.UK,Y,Y,N,108601GMP.BUK
24,Buffer,Big Dye Terminator 5 x Sequencing Buffer,4336697,100004321.1ML,Y,Y,N,108601GMP.BUK
25,Buffer,10 x Genetic Analyser Buffer,4335613,A0001977.UK,Y,Y,PROC-BREL_UK-OP-036305 (KPES0553),108601GMP.BUK
26,DNA Sequencing Control Template,pGEM®-3Zf(+) Vector,P2271_4337456,100004987.VL_A0001976.UK,Y,Y,PROC-BREL_UK-OP-036382 (KPBT4413),108601GMP.BUK
27,DNA amplification primer *,MUF  Forward PCR primer,N/A,N/A,N,N,N,108601GMP.BUK
28,DNA amplification primer *,MUR  Reverse PCR primer,N/A,N/A,N,N,N,108601GMP.BUK
29,DNA sequencing primer *,M13F Forward sequencing PCR primer,N/A,N/A,N,N,N,108601GMP.BUK
30,DNA sequencing primer *,M13R Reverse sequencing primer,N/A,N/A,N,N,N,108601GMP.BUK
31,3130xl Genetic Analyser Capillaries,"50 cm, 80 cm capillary arrays ","4315930,_4319899","100004884.UK, 100004883.UK ",Y,N,N,108601GMP.BUK
32,Purification Kit,Optima DTR Ultra 96 well plate,1645637_1617946,100009156.UK_100009157.UK,Y,Y,N,108601GMP.BUK
33,Buffer,SeqSaver Sequencing premix dilution buffer ,S3938-2X1ML,100009254.UK,Y,Y,N,108601GMP.BUK
34,Bioanalyser Kit,Agilent DNA 7500 kit,5067-1506,100009216.UK,Y,Y,N,108601GMP.BUK
