,MaterialType,CultivationName,SupplierCatalogueNumber,ERPnumber,ERPInventoryControl,LIMSSpec,BOM
2,Media,HG DMEM,41965-039,100000705.500ml,Y,Y,N
3,Raw Material,Pen/Strep,15140-122,100000777.100ml,Y,Y,Y (BPBT0609)
4,Raw Material,NEAA,11140-035,100000846.100ml,Y,Y,Y (BPBT0609)
5,Raw Material,L-Glutamine,25030-024,100007081.100ml,Y,Y,Y (BPBT0609)
6,Raw Material,HBSS,14170-088,100000794.500ml,Y,Y,N
7,Raw Material,Trypsin,25300-062,A25300062.500ml,Y,Y,N
8,Supplemented media,10% HG DMEM,041-95943M,A04191881.500ml,Y,Y,Y (BPBT0609)
9,Raw Material,Gentamicin,15710-049,100001267.500ml,Y,Y,Y (BPBT0609)
10,Raw Material,PBS,14040-083,100000856.100ml,Y,Y,N
11,Raw Material,Acetone,CHE1040,A0000140.2’5L,Y,N,N
12,Raw Material,Giemsa,G5637,A0000894.25G,Y,N,N
13,Raw Material,Methanol,M14000/17,A0000095.2.5L,Y,N,N
14,Blood,Chick RBC,SB-000817-U,100002723.,Y,Y,Y (KPBT4629)
15,Blood,Guinea Pig RBC,PB030,A0000991.UK,Y,Y,Y (KPBT4629)
16,Blood,Human RBC,Z416,A0000096.UK,Y,Y,Y (KPBT4629)
17,Detector Cells,BT cells,CRL-1390,100000227.WCB,N,Y,Y (KPBT6433)
18,Detector Cells,Vero Cells,CRL-1586,100000253.WCB,N,Y,Y (KPBT6433)
19,Raw Material,Fungizone,15290-026,100000670.50ml,Y,Y,Y (BPBT0609)
20,Raw Material,Trypan Blue,T-8154-100ML,A0000964.100ML,Y,Y,N
21,Raw Material,BAV-1 Antisera,210-58-BAV1,100004817.,Y,Y,Y (KPBT6502)
22,Raw Material,BPV Antisera,210-67-BPV,A0001035.UK,Y,Y,Y (KPBT6502)
23,Raw Material,BRSV Antisera,210-63-BRSV,A0001034.UK,Y,Y,Y (KPBT6502)
24,Raw Material,BVD Antisera,210-61-BVD,A0001033.UK,Y,Y,Y (KPBT6502)
25,Raw Material,BTV Antisera,CJ-F-BT-MAB,A0001029.UK,Y,Y,Y (KPBT6502)
26,Raw Material,Reo Antisera,210-04-REO,A0001028.UK,Y,Y,Y (KPBT6502)
27,Raw Material,PI3 Antisera,210-53-PI3,A0001030.UK,Y,Y,Y (KPBT6502)
28,Raw Material,Vectashield,H-1000,A0001014.UK,Y,Y,Y (KPBT4628)
29,Raw Material,Tween 20,P1379-100ml,A0000932.100ML,Y,N,Y (KPBT4628)
30,Raw Material,PBS (Sachets),P3813-10PAK,A0000935.10PK,Y,N,Y (KPBT4628)
31,Raw Material,Rabies Antisera,800-092,100007240.UK,Y,N,Y (KPBT6502)
