,MaterialType,CultivationName,SupplierCatalogueNumber,ERPnumber,ERPInventoryControl,LIMSSpec,BOM
2,Media,THIO Broth,44001,A0000328,Y,Y,"Y
(KPBT4412)"
3,Media,TSB                      (Tryptone Soya Broth),44011,A0000329,Y,Y,Y (KPBT4412)
4,Media,TSA                 (Tryptone Soya Agar),104130,A0001753,Y,Y,Y (KPBT4412)
5,Media,MEA                        (Malt Extract Agar),104300,A0002144,Y,Y,Y (KPBT4412)
6,Diluent,Sterile Distilled Water,15230071,100000774,Y,Y,N
7,Positive Control,S. aureus ATCC 6538,Q7016C,A0000762,Y,Y,Y         (BPBT1657)
8,Positive Control,B. subtilis ATCC 6633,Q1221C,A0000757,Y,Y,Y         (BPBT1657)
9,Positive Control,C. sporogenes ATCC 19404 or 11437,Q1700C/Q1703C,A0000759/760,Y,Y,Y         (BPBT1657)
10,Positive Control,Ps. aeruginosa ATCC 9027,Q5210C,A0000761,Y,Y,Y         (BPBT1657)
11,Positive Control,A. brasiliensis ATCC 16404,Q1100C,A0000756,Y,Y,Y         (BPBT1657)
12,Positive Control,C. albicans ATCC 10231,Q1503C,A0000758,Y,Y,Y         (BPBT1657)
13,Reagent,Anaerobic sachets,BRS024/AN0025A,A0000666,Y,N,N/A
